Leaf	Index	Depth
GO:0120043	4	2
GO:0061826	5	2
GO:0097228	9	2
GO:0140512	11	2
GO:0009546	13	2
GO:0009542	14	2
GO:0009427	15	2
GO:0042718	16	2
GO:0030694	17	2
GO:0020008	18	2
GO:0097433	19	2
GO:0110071	20	2
GO:1990037	21	2
GO:0044290	22	2
GO:0097592	23	2
GO:0070971	24	2
GO:0043673	25	2
GO:0032179	26	2
GO:1990047	27	2
GO:0044326	28	2
GO:1990225	29	2
GO:0020039	31	2
GO:0001917	32	2
GO:0097544	33	2
GO:1990716	34	2
GO:0043196	35	2
GO:0070115	36	2
GO:0044224	37	2
GO:0001652	38	2
GO:0009548	39	2
GO:0000801	40	2
GO:0090405	41	2
GO:0032426	42	2
GO:0106125	43	2
GO:0031910	44	2
GO:1990783	45	2
GO:0085036	46	2
GO:0120105	47	2
GO:1990295	48	2
GO:0120083	49	2
GO:0009425	50	2
GO:1990875	51	2
GO:0098843	52	2
GO:0043198	54	2
GO:0090688	55	2
GO:0032153	56	2
GO:0061822	57	2
GO:0010319	58	2
GO:0043592	59	2
GO:0090641	60	2
GO:0090637	62	2
GO:0140022	63	2
GO:0110092	67	2
GO:0060110	68	2
GO:0090724	70	2
GO:0097356	71	2
GO:0009549	73	2
GO:0150004	74	2
GO:0090692	77	2
GO:0060107	78	2
GO:0061825	79	2
GO:0097204	81	2
GO:0043209	83	2
GO:0009986	84	2
GO:0061827	85	2
GO:0005726	86	2
GO:0031592	87	2
GO:0031672	88	2
GO:0032579	89	2
GO:0097478	90	2
GO:0036117	91	2
GO:0043678	92	2
GO:0048223	93	2
GO:1990030	94	2
GO:0009510	95	2
GO:0009424	96	2
GO:0009431	98	2
GO:0033012	99	2
GO:1990836	100	2
GO:0005630	102	2
GO:0097227	103	2
GO:0001772	104	2
GO:1990819	105	2
GO:0044327	106	2
GO:0032126	108	2
GO:0062074	109	2
GO:0020031	110	2
GO:0097546	111	2
GO:0035182	113	2
GO:0071944	114	2
GO:0060106	115	2
GO:0140599	116	2
GO:0009541	117	2
GO:0001400	119	2
GO:0009429	121	2
GO:0044304	122	2
GO:0097564	123	2
GO:0033774	124	2
GO:0012505	125	2
GO:0016328	127	2
GO:0097225	128	2
GO:0097653	129	2
GO:0120134	130	2
GO:0097614	131	2
GO:0005702	132	2
GO:0120107	133	2
GO:0020038	134	2
GO:0043219	135	2
GO:0033268	136	2
GO:1990826	137	2
GO:0097545	140	2
GO:0097563	141	2
GO:0120098	142	2
GO:0020007	143	2
GO:0120135	144	2
GO:0043670	145	2
GO:0097268	146	2
GO:0090552	147	2
GO:1990073	148	2
GO:0097540	149	2
GO:0120219	150	2
GO:0009428	151	2
GO:0090725	152	2
GO:0070057	154	2
GO:0090553	155	2
GO:0110093	156	2
GO:0097569	157	2
GO:1990876	160	2
GO:0009418	161	2
GO:0072324	162	2
GO:0000943	163	2
GO:0005706	165	2
GO:0120100	166	2
GO:0099079	167	2
GO:0000802	168	2
GO:0031430	170	2
GO:0031674	171	2
GO:0009504	174	2
GO:0061823	175	2
GO:0045178	176	2
GO:0097197	178	2
GO:0034399	179	2
GO:0120104	180	2
GO:0071597	181	2
GO:0097566	182	2
GO:0042587	183	2
GO:1990014	184	2
GO:0097038	185	2
GO:1990916	186	2
GO:0090652	187	2
GO:0034992	188	2
GO:0043220	189	2
GO:0043159	190	2
GO:0014705	191	2
GO:0005652	192	2
GO:1990031	193	2
GO:0005933	194	2
